station_name,station_id,longitude_deg,latitude_deg,site_altitude_m,timezone,time,height_m,wind_dir_deg,wind_speed_mps,vertical_speed_mps,quality_flag_1,quality_flag_2,cn2_m_neg_2_3,u_ms,v_ms,model_b_shear_per_s,q1_ri_prediction,q1_ri_prediction_std,q1_out_of_domain,wpr_spectrum_width_mps,wpr_spectrum_width_mad,valid_beams,median_snr_db,dynamic_proxy_raw,wpr_spectrum_ti,wpr_dynamic_ti,wpr_turbulence_index,wpr_uncertainty
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,100.0,6.9,8.1,3.4,100,100,3.5e-14,-0.9731083945606415,-8.041334469628508,0.019481859866012533,0.0,5.850569100801361,True,1.85,0.7500000000000001,4,34.7,2.253857378547707,0.1111111111111111,1.0,0.3333333333333333,0.32761904761904764
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,160.0,15.3,9.4,3.6,100,100,8.2e-14,-2.4804066696745055,-9.066839733503302,0.017743948351950357,0.0,5.93993965036204,True,1.6,0.7000000000000001,4,37.95,2.142073068587255,0.058201058201058184,1.0,0.2936507936507936,0.3244444444444444
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,220.0,21.4,11.3,3.9,100,100,1.2e-13,-4.123107663015102,-10.52093071924657,0.02296041562099299,0.0,6.113651689818945,True,1.3,0.65,4,34.1,2.6385236127212104,0.0,1.0,0.25,0.32126984126984126
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,280.0,27.1,13.6,4.5,100,100,1.3e-13,-6.195410738375812,-12.10689414271132,0.027763971369466813,0.0,6.47293215245623,True,0.95,0.55,4,30.55,3.1556902671278957,0.0,1.0,0.25,0.31492063492063493
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,340.0,30.0,14.7,4.5,100,100,1.5e-13,-7.349999999999999,-12.730573435631248,0.023709385901288325,0.0,6.437579618691561,True,0.8,0.5,3,28.4,2.8055925930473395,0.0,1.0,0.25,0.34174603174603174
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,400.0,32.2,15.6,4.5,100,100,1.6e-13,-8.312869906703387,-13.200613391589998,0.019304775432359582,0.0,6.423282287641853,True,0.4,0.30000000000000004,3,26.9,2.4447379297050102,0.0,1.0,0.25,0.32904761904761903
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,460.0,34.7,15.9,4.5,100,100,1.7e-13,-9.051544422550423,-13.072090252388726,0.014890542672866013,0.0,6.434343902991894,True,0.1,0.05,4,26.8,2.1135947130243387,0.0,1.0,0.25,0.2831746031746032
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,520.0,38.4,16.5,4.6,100,100,1.8e-13,-10.24893837459212,-12.930942045876357,0.01127600717073024,0.0,6.523141347574441,True,1.1,1.0,3,29.8,1.903311453297833,0.0,0.8471305760671903,0.21178264401679758,0.3734920634920635
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,580.0,41.4,17.0,4.6,100,100,2.4e-13,-11.242301710502081,-12.751888183717814,0.009338628077306068,0.0,6.544854161581282,True,2.1,1.6,3,33.2,1.7953302912761213,0.164021164021164,0.7573254962510118,0.31234724707862593,0.4115873015873016
a,58235,118.8472,32.3686,16.2,LC,2025-07-31 02:00:00,640.0,41.6,16.9,4.7,100,100,1.5e-13,-11.220352993822882,-12.637787729425188,0.006781920710430433,0.0,6.643999194371362,True,2.5,1.4,3,37.0,1.707158144305939,0.24867724867724866,0.6839950509402924,0.3575066992430096,0.39888888888888885
