longitude_deg,latitude_deg,height_agl_m,turbulence_index,coverage,uncertainty,radar_contribution,wpr_contribution,surface_contribution
118.2993624832963,31.202767352511447,200.0,0.19375126,0.55294716,0.5887631,0.0,0.327128,0.672872
118.30995294667744,31.202767352511447,200.0,0.15059863,0.5488674,0.51236707,0.0,0.24984106,0.75015897
118.32054341005858,31.202767352511447,200.0,0.15322362,0.5526169,0.5077181,0.0,0.24994394,0.7500561
118.33113387343971,31.202767352511447,200.0,0.15622547,0.55592763,0.5034046,0.0,0.25029784,0.74970216
118.34172433682083,31.202767352511447,200.0,0.15887779,0.55879414,0.49920648,0.0,0.250637,0.749363
118.35231480020197,31.202767352511447,200.0,0.19191465,0.5696342,0.53784895,0.0,0.2983073,0.7016927
118.3629052635831,31.202767352511447,200.0,0.19554153,0.5716063,0.534931,0.0,0.30034637,0.6996536
118.37349572696424,31.202767352511447,200.0,0.19997342,0.5731172,0.5338882,0.0,0.30447263,0.6955274
118.38408619034537,31.202767352511447,200.0,0.20905928,0.5741672,0.53314155,0.0,0.30918348,0.6908165
118.3946766537265,31.202767352511447,200.0,0.21643654,0.5747581,0.53704643,0.0,0.3192232,0.6807768
118.40526711710763,31.202767352511447,200.0,0.23671234,0.5748932,0.54947436,0.0,0.3404538,0.6595462
118.41585758048876,31.202767352511447,200.0,0.24938752,0.574577,0.55601066,0.0,0.35447696,0.645523
118.4264480438699,31.202767352511447,200.0,0.26353538,0.57381564,0.56212896,0.0,0.36814627,0.6318537
118.43703850725103,31.202767352511447,200.0,0.29994532,0.57495564,0.57464665,0.0,0.38986188,0.6101381
118.44762897063217,31.202767352511447,200.0,0.34228742,0.5768913,0.59277564,0.0,0.41719323,0.58280677
118.4582194340133,31.202767352511447,200.0,0.35701495,0.57837147,0.59241307,0.0,0.42056838,0.57943165
118.46880989739444,31.202767352511447,200.0,0.38262248,0.57115,0.5914143,0.0,0.4204753,0.5795247
118.47940036077556,31.202767352511447,200.0,0.4029689,0.5602599,0.59779125,0.0,0.43056726,0.56943274
118.48999082415669,31.202767352511447,200.0,0.41559258,0.5604477,0.59874225,0.0,0.43416604,0.5658339
118.50058128753783,31.202767352511447,200.0,0.4279842,0.5602092,0.599826,0.0,0.43752807,0.5624719
118.51117175091896,31.202767352511447,200.0,0.45112407,0.570873,0.59690505,0.0,0.43147698,0.56852305
118.5217622143001,31.202767352511447,200.0,0.46259862,0.5697861,0.59662586,0.0,0.43208903,0.56791097
118.53235267768123,31.202767352511447,200.0,0.48318645,0.57124484,0.5864922,0.0,0.41587222,0.5841278
118.54294314106235,31.202767352511447,200.0,0.48847318,0.57226425,0.584552,0.0,0.4156343,0.58436567
118.55353360444349,31.202767352511447,200.0,0.4914236,0.57284516,0.5832078,0.0,0.41683728,0.5831627
118.56412406782462,31.202767352511447,200.0,0.49561793,0.5729896,0.5790769,0.0,0.41371801,0.586282
118.57471453120576,31.202767352511447,200.0,0.49043846,0.572701,0.57991517,0.0,0.42054963,0.57945037
118.58530499458689,31.202767352511447,200.0,0.4826731,0.57198405,0.5809433,0.0,0.42862618,0.5713738
118.59589545796803,31.202767352511447,200.0,0.47237566,0.57084477,0.5817697,0.0,0.43742383,0.5625762
118.60648592134915,31.202767352511447,200.0,0.46130043,0.5732975,0.5793844,0.0,0.44195876,0.5580413
118.61707638473028,31.202767352511447,200.0,0.45154935,0.5762292,0.58349866,0.0,0.45530185,0.5446981
118.62766684811142,31.202767352511447,200.0,0.443436,0.5787311,0.5795269,0.0,0.45619935,0.54380065
118.63825731149255,31.202767352511447,200.0,0.4315695,0.5807986,0.57494307,0.0,0.4572968,0.5427032
118.64884777487369,31.202767352511447,200.0,0.42141697,0.5824282,0.5701864,0.0,0.45716852,0.5428315
118.65943823825482,31.202767352511447,200.0,0.39251426,0.5836178,0.5480175,0.0,0.43533537,0.56466466
118.67002870163596,31.202767352511447,200.0,0.38864014,0.58436656,0.5466505,0.0,0.43751284,0.5624871
118.68061916501708,31.202767352511447,200.0,0.3869388,0.58467495,0.54716575,0.0,0.4419286,0.5580714
