eventid,危害等级,危害得分,人员伤亡得分,财产损失得分,直接后果得分,行动复杂度得分,情境风险得分,数据完整率,数据质量
199801010001,2,0.631527337625892,0.6889814858120479,0.0,0.6889814858120479,0.2785503255929501,0.6942382695762872,0.4,low
199801010002,3,0.37371720992493507,0.2905724084070406,0.0,0.2905724084070406,0.2785503255929501,0.8276392073659339,0.8,medium
199801010003,4,0.25053355470695426,0.19204885485039963,0.0,0.19204885485039963,0.2785503255929501,0.48447431372394617,0.8,medium
199801020001,1,0.7533122114004658,0.10148793559913001,0.8132902461547432,0.8132902461547432,0.2785503255929501,0.9143053072091238,0.8,medium
199801020002,5,0.22304217654222008,0.14990775346041232,0.0,0.14990775346041232,0.0,0.7475508533243151,0.8,medium
199801040001,4,0.27857145827225316,0.10148793559913001,0.0,0.10148793559913001,0.5905993808225396,0.7826987754701348,0.0,low
199801040002,4,0.27857145827225316,0.10148793559913001,0.0,0.10148793559913001,0.5905993808225396,0.7826987754701348,0.0,low
199801050001,5,0.18036086961802822,0.10148793559913001,0.0,0.10148793559913001,0.0,0.6919312198222582,0.8,medium
199801050002,1,0.8004001604346571,0.14990775346041232,0.8599676846160574,0.8599676846160574,0.5905993808225396,0.7250556942332336,0.6,medium
199801050003,2,0.6231955030829259,0.6076355120989744,0.0,0.6076355120989744,0.5905993808225396,0.7214343838585944,0.4,low
199801050004,2,0.6356985597998663,0.6254980977048313,0.0,0.6254980977048313,0.5905993808225396,0.7214296164709644,0.4,low
199801060001,4,0.2985194042323576,0.23214188573707745,0.0,0.23214188573707745,0.2785503255929501,0.6105615801586506,0.4,low
199801060002,1,0.787585117362074,0.10148793559913001,0.8132902461547432,0.8132902461547432,0.5905993808225396,0.8507532940168977,0.8,medium
199801060003,4,0.2593924541950469,0.10148793559913001,0.0,0.10148793559913001,0.5905993808225396,0.6613062134814272,0.4,low
199801060004,4,0.2593924541950469,0.10148793559913001,0.0,0.10148793559913001,0.5905993808225396,0.6613062134814272,0.4,low
199801070001,5,0.18329005312291402,0.10148793559913001,0.0,0.10148793559913001,0.0,0.7104713425920193,0.8,medium
199801080001,4,0.2593924541950469,0.10148793559913001,0.0,0.10148793559913001,0.5905993808225396,0.6613062134814272,0.0,low
199801080002,4,0.2593924541950469,0.10148793559913001,0.0,0.10148793559913001,0.5905993808225396,0.6613062134814272,0.0,low
199801090001,4,0.27500809082012645,0.19204885485039963,0.0,0.19204885485039963,0.2785503255929501,0.6393846849978181,0.8,medium
199801090002,1,0.7787291631765569,0.49217770750137196,0.8599676846160574,0.8599676846160574,0.2785503255929501,0.8683708680832507,0.6,medium
199801100001,2,0.5835320533484307,0.5864037772657713,0.0,0.5864037772657713,0.48347735783652845,0.6607412338916105,0.8,medium
199801100002,3,0.41713694586498273,0.31968535526787134,0.0,0.31968535526787134,0.2785503255929501,0.9734740135342863,0.6,medium
199801100003,3,0.3814381918449882,0.31968535526787134,0.0,0.31968535526787134,0.2785503255929501,0.7475205076667866,0.6,medium
199801110001,1,0.7425461139968687,0.10148793559913001,0.8599676846160574,0.8599676846160574,0.2785503255929501,0.6393520398477446,0.6,medium
199801110002,4,0.25053355470695426,0.19204885485039963,0.0,0.19204885485039963,0.2785503255929501,0.48447431372394617,0.4,low
199801110003,3,0.48314476040342025,0.4886990236166846,0.0,0.4886990236166846,0.2785503255929501,0.6424326411707533,0.4,low
199801110004,1,0.8382922673466502,0.10148793559913001,0.8599676846160574,0.8599676846160574,0.5905993808225396,0.9648919192363671,0.2,low
199801110005,1,0.8379757200879451,0.4968735557850052,0.8599676846160574,0.8599676846160574,0.5905993808225396,0.9628883489482528,0.4,low
199801120001,1,0.8011975816082628,0.10148793559913001,0.8599676846160574,0.8599676846160574,0.5905993808225396,0.7301029322888881,0.2,low
199801120002,1,0.8011975816082628,0.10148793559913001,0.8599676846160574,0.8599676846160574,0.5905993808225396,0.7301029322888881,0.2,low
199801120003,1,0.8011975816082628,0.10148793559913001,0.8599676846160574,0.8599676846160574,0.5905993808225396,0.7301029322888881,0.2,low
199801130001,4,0.2644029527569376,0.10148793559913001,0.0,0.10148793559913001,0.2785503255929501,0.9735006014053953,0.8,medium
199801130002,4,0.3677832811319141,0.31968535526787134,0.0,0.31968535526787134,0.2785503255929501,0.6610924226361812,0.8,medium
199801130003,3,0.44628014302371344,0.36131954409065925,0.0,0.36131954409065925,0.2785503255929501,0.9734693612789773,0.8,medium
199801140001,5,0.22596453244729234,0.10148793559913001,0.0,0.10148793559913001,0.2785503255929501,0.7302065126506926,0.8,medium
199801140002,1,0.7609902143322725,0.5262055857421224,0.8132902461547432,0.8132902461547432,0.2785503255929501,0.9629028487236256,0.8,medium
199801150001,1,0.7242152399520746,0.10148793559913001,0.8132902461547432,0.8132902461547432,0.2785503255929501,0.730137459076156,0.8,medium
199801170001,1,0.7223044288758188,0.818671318637148,0.0,0.818671318637148,0.2785503255929501,0.6942016111213372,0.8,medium
199801170002,2,0.7142458583064913,0.10148793559913001,0.8132902461547432,0.8132902461547432,0.2785503255929501,0.66703674881358,0.8,medium
199801170003,2,0.6626188009580551,0.10148793559913001,0.8132902461547432,0.8132902461547432,0.2785503255929501,0.34026583129169685,0.8,medium
199801170004,4,0.25318043310243243,0.10148793559913001,0.0,0.10148793559913001,0.2785503255929501,0.9024682158161921,0.8,medium
199801180001,4,0.3567677127513172,0.2905724084070406,0.0,0.2905724084070406,0.2785503255929501,0.7203581995491006,0.8,medium
199801180002,4,0.25053355470695426,0.19204885485039963,0.0,0.19204885485039963,0.2785503255929501,0.48447431372394617,0.8,medium
199801190001,1,0.7201433585450229,0.10148793559913001,0.8132902461547432,0.8132902461547432,0.5905993808225396,0.4238840022189816,0.8,medium
199801190002,5,0.23593029216618838,0.14990775346041232,0.0,0.14990775346041232,0.2785503255929501,0.5787547009345222,0.8,medium
199801190003,1,0.7789497922678712,0.10148793559913001,0.8132902461547432,0.8132902461547432,0.5905993808225396,0.7960964290112474,0.8,medium
199801200001,2,0.5948460440206735,0.5675970634657332,0.0,0.5675970634657332,0.2785503255929501,0.9998735350208598,0.8,medium
199801200002,3,0.45645024341996554,0.3758487535435812,0.0,0.3758487535435812,0.2785503255929501,0.9734671698915129,0.6,medium
199801200003,3,0.4792785836821758,0.47899959031998124,0.0,0.47899959031998124,0.2785503255929501,0.6609363258087156,0.6,medium
199801200004,4,0.26304861505604576,0.10148793559913001,0.0,0.10148793559913001,0.2785503255929501,0.9649283876112207,0.6,medium
199801200005,4,0.25053355470695426,0.19204885485039963,0.0,0.19204885485039963,0.2785503255929501,0.48447431372394617,0.8,medium
199801210001,4,0.25053355470695426,0.19204885485039963,0.0,0.19204885485039963,0.2785503255929501,0.48447431372394617,0.8,medium
