Lat,Lon,Alti,Year,Mon,Day,Hour,Min,PRS,PRS_Sea,WIN_D_Avg_2mi,WIN_S_Avg_2mi,TEM,DPT,RHU,surface_id,u_ms,v_ms,local_wind_vector_variability_mps,surface_proxy_raw,surface_turbulence_index,surface_uncertainty
32.2086,118.7511,26.2,2025,7,31,2,0,990.4,993.5,332.0,2.2,25.6,24.7,95.0,SURF_0001,1.0328374381289598,-1.9424847042896396,3.512568270952108,1.2508013368370199,0.6452129574652476,0.2016496580927726
32.0439,118.7361,6.8,2025,7,31,2,0,990.2,991.2,22.0,0.7,25.5,24.8,96.0,SURF_0002,-0.2622246153911384,-0.6490286981967511,2.5849672967330304,0.872955129633392,0.2733409424081236,0.2016496580927726
32.1608,119.1819,9.0,2025,7,31,2,0,990.6,991.8,27.0,2.1,24.8,24.3,97.0,SURF_0003,-0.9533800494530483,-1.8711137007955727,2.0013408451821264,0.7883150229441068,0.19003909517737497,0.2016496580927726
32.0589,118.8322,43.3,2025,7,31,2,0,989.4,994.5,39.0,1.0,25.1,24.4,96.0,SURF_0004,-0.6293203910498374,-0.7771459614569709,1.7764872402923497,0.625025058601789,0.029330936882010675,0.2016496580927726
32.1981,118.9522,4.5,2025,7,31,2,0,992.7,993.4,28.0,4.1,25.3,24.4,95.0,SURF_0005,-1.924833407422152,-3.6200851307216,3.580126905970032,1.4479452361824305,0.8392397803050688,0.2016496580927726
32.1578,118.5522,7.1,2025,7,31,2,0,992.8,993.8,49.0,3.7,26.0,25.8,,SURF_0006,-2.7924254468242564,-2.4274184072648772,2.588099190946629,1.1365961572548584,0.5328134958549543,0.2016496580927726
31.6428,118.715,16.5,2025,7,31,2,0,990.9,992.9,353.0,2.8,25.7,25.7,100.0,SURF_0007,0.3412341615344122,-2.7791292245957018,3.403002029884033,1.2650350375206938,0.659221606630026,0.2016496580927726
31.6008,119.1803,38.7,2025,7,31,2,0,987.2,991.7,352.0,2.9,24.9,24.4,97.0,SURF_0008,0.40360199278419107,-2.8717773993505538,1.077187471548984,0.6821479840150436,0.08555068177926956,0.2016496580927726
32.0453,118.7875,8.0,2025,7,31,2,0,991.7,992.8,4.0,1.6,25.7,25.7,100.0,SURF_0009,-0.11161035799060048,-1.596102480415719,1.3531972264107728,0.553046384790222,0.0,0.2016496580927726
31.3728,119.01,33.3,2025,7,31,2,0,990.4,994.1,321.0,3.3,25.6,25.6,100.0,SURF_0010,2.0767572904644647,-2.5645816728080026,2.019148613459667,0.9426535314523391,0.3419373306648538,0.2016496580927726
31.5294,119.2636,25.0,2025,7,31,2,0,,,316.0,0.3,24.9,24.6,98.0,SURF_0011,0.20839751113769928,-0.21580194010159526,2.3934767931850964,0.800078548887935,0.20161662596505495,0.2016496580927726
31.945,119.0,25.9,2025,7,31,2,0,989.4,992.6,23.0,2.8,25.1,24.9,,SURF_0012,-1.0940471597699666,-2.577413589666833,2.2881667715794634,0.9462268446930792,0.3454541456280068,0.2016496580927726
31.9636,118.8553,9.0,2025,7,31,2,0,987.8,989.0,23.0,1.1,25.2,24.2,94.0,SURF_0013,-0.42980424133820117,-1.0125553387976844,1.4070166570414984,0.5180407398385483,0.0,0.2016496580927726
32.0581,118.7519,28.9,2025,7,31,2,0,989.8,993.1,357.0,1.5,25.4,24.9,97.0,SURF_0014,0.07850393436441655,-1.4979443021318608,1.7765577928604641,0.6638404754300911,0.06753263639898888,0.2016496580927726
32.3744,118.9325,11.2,2025,7,31,2,0,992.1,993.5,74.0,3.5,25.4,24.4,94.0,SURF_0015,-3.364415935784116,-0.9647307453594971,1.4701803410905403,0.8544933674620103,0.2551710823717169,0.2016496580927726
31.8978,118.52,8.3,2025,7,31,2,0,992.2,993.3,2.0,0.9,26.1,25.2,95.0,SURF_0016,-0.03140954703225087,-0.8994517443171862,1.3800887183296584,0.49399110096132065,0.0,0.2016496580927726
