时间,处理类型,原GPS车速,处理后GPS车速,说明
2017-12-18 14:10:39,车速限幅,15.2,14.256,"连续1秒允许范围 [0.000000, 14.256000] km/h"
2017-12-18 14:17:18,新增插值记录,,37.849999999999994,相邻速度 34.8 与 40.9 km/h 的线性中点
2017-12-18 14:26:22,新增插值记录,,39.5,相邻速度 40.4 与 38.6 km/h 的线性中点
2017-12-18 15:43:03,新增插值记录,,20.299999999999997,相邻速度 20.2 与 20.4 km/h 的线性中点
2017-12-18 15:44:34,新增插值记录,,21.1,相邻速度 21.3 与 20.9 km/h 的线性中点
2017-12-18 15:52:32,新增插值记录,,17.0,相邻速度 17.2 与 16.8 km/h 的线性中点
2017-12-18 18:04:42,新增插值记录,,33.85,相邻速度 31.3 与 36.4 km/h 的线性中点
2017-12-18 18:04:44,新增插值记录,,37.95,相邻速度 36.4 与 39.5 km/h 的线性中点
2017-12-18 18:05:11,车速限幅,51.7,48.256,"连续1秒允许范围 [5.200000, 48.256000] km/h"
2017-12-18 21:33:34,新增插值记录,,5.45,相邻速度 5 与 5.9 km/h 的线性中点
2017-12-19 00:01:44,新增插值记录,,87.6,相邻速度 87.6 与 87.6 km/h 的线性中点
2017-12-19 00:01:48,新增插值记录,,87.6,相邻速度 87.6 与 87.6 km/h 的线性中点
2017-12-19 00:01:58,新增插值记录,,87.6,相邻速度 87.6 与 87.6 km/h 的线性中点
2017-12-19 00:02:04,新增插值记录,,87.6,相邻速度 87.6 与 87.6 km/h 的线性中点
2017-12-19 00:02:17,新增插值记录,,87.6,相邻速度 87.6 与 87.6 km/h 的线性中点
2017-12-19 00:02:20,新增插值记录,,87.6,相邻速度 87.6 与 87.6 km/h 的线性中点
2017-12-19 00:05:41,新增插值记录,,86.3,相邻速度 86.3 与 86.3 km/h 的线性中点
2017-12-19 00:11:13,新增插值记录,,66.9,相邻速度 66.5 与 67.3 km/h 的线性中点
2017-12-19 00:29:58,新增插值记录,,0.8500000000000001,相邻速度 1.3 与 0.4 km/h 的线性中点
2017-12-19 03:08:00,新增插值记录,,29.65,相邻速度 28.3 与 31 km/h 的线性中点
2017-12-19 07:24:27,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:28,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:29,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:30,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:31,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:32,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:33,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:34,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:35,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:36,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:37,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:38,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:39,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:40,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:41,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:42,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:43,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:44,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:45,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:46,删除长低速记录,2.0,2.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:47,删除长低速记录,2.8,2.8,连续低于10 km/h的记录超过180条
2017-12-19 07:24:48,删除长低速记录,4.0,4.0,连续低于10 km/h的记录超过180条
2017-12-19 07:24:49,删除长低速记录,5.5,5.5,连续低于10 km/h的记录超过180条
2017-12-19 07:24:50,删除长低速记录,7.2,7.2,连续低于10 km/h的记录超过180条
2017-12-19 07:24:51,删除长低速记录,6.3,6.3,连续低于10 km/h的记录超过180条
2017-12-19 07:24:52,删除长低速记录,6.9,6.9,连续低于10 km/h的记录超过180条
2017-12-19 07:24:53,删除长低速记录,5.4,5.4,连续低于10 km/h的记录超过180条
2017-12-19 07:24:54,删除长低速记录,4.7,4.7,连续低于10 km/h的记录超过180条
2017-12-19 07:24:55,删除长低速记录,3.3,3.3,连续低于10 km/h的记录超过180条
2017-12-19 07:24:56,删除长低速记录,2.8,2.8,连续低于10 km/h的记录超过180条
2017-12-19 07:24:57,删除长低速记录,3.5,3.5,连续低于10 km/h的记录超过180条
2017-12-19 07:24:58,删除长低速记录,4.6,4.6,连续低于10 km/h的记录超过180条
2017-12-19 07:24:59,删除长低速记录,5.2,5.2,连续低于10 km/h的记录超过180条
2017-12-19 07:25:00,删除长低速记录,6.4,6.4,连续低于10 km/h的记录超过180条
2017-12-19 07:25:01,删除长低速记录,7.5,7.5,连续低于10 km/h的记录超过180条
2017-12-19 07:25:02,删除长低速记录,6.0,6.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:03,删除长低速记录,3.2,3.2,连续低于10 km/h的记录超过180条
2017-12-19 07:25:04,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:05,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:06,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:07,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:08,删除长低速记录,3.2,3.2,连续低于10 km/h的记录超过180条
2017-12-19 07:25:09,删除长低速记录,2.5,2.5,连续低于10 km/h的记录超过180条
2017-12-19 07:25:10,删除长低速记录,1.4,1.4,连续低于10 km/h的记录超过180条
2017-12-19 07:25:11,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:12,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:13,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:14,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:15,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:16,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:17,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:18,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:19,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:20,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:21,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:22,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:23,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:24,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:25,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:26,删除长低速记录,5.2,5.2,连续低于10 km/h的记录超过180条
2017-12-19 07:25:27,删除长低速记录,9.5,9.5,连续低于10 km/h的记录超过180条
2017-12-19 07:25:28,删除长低速记录,8.0,8.0,连续低于10 km/h的记录超过180条
2017-12-19 07:25:29,删除长低速记录,8.4,8.4,连续低于10 km/h的记录超过180条
2017-12-19 07:52:21,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:22,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:23,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:24,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:25,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:26,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:27,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:28,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:29,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:30,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:31,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:32,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:33,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:34,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:35,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:36,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:37,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:38,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:39,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:40,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:41,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:42,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:43,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:44,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-12-19 07:52:45,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
