时间,处理类型,原GPS车速,处理后GPS车速,说明
2017-11-01 19:14:50,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:51,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:52,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:53,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:54,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:55,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:56,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:57,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:58,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:14:59,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:00,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:01,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:02,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:03,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:04,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:05,删除长低速记录,3.0,3.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:06,删除长低速记录,5.0,5.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:07,删除长低速记录,6.0,6.0,连续低于10 km/h的记录超过180条
2017-11-01 19:15:08,删除长低速记录,9.3,9.3,连续低于10 km/h的记录超过180条
2017-11-02 10:24:40,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:41,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:42,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:43,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:44,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:45,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:46,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:47,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:48,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:49,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:50,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:51,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:52,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:53,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:54,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:55,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:56,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:57,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:58,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:24:59,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:00,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:01,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:02,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:03,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:04,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:05,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:06,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:07,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:08,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:09,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:10,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:11,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:12,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:13,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:14,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:15,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:16,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:17,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:18,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:19,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:20,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:21,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:22,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:23,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:24,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:25,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:26,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:27,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:28,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:29,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:30,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:31,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:32,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:33,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:34,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:35,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:36,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:37,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:38,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:39,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:40,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:41,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:42,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:43,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:44,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:45,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:46,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:47,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:48,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:49,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:50,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:51,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:52,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:53,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:54,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:55,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:56,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:57,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:58,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:25:59,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:00,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:01,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:02,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:03,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:04,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:05,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:06,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:07,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:08,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
2017-11-02 10:26:09,删除长低速记录,0.0,0.0,连续低于10 km/h的记录超过180条
