model,valid_time,height_agl_m,mean_turbulence,p90_turbulence,high_risk_fraction,mean_uncertainty
model_d,2025-07-31 02:00:00,0.0,0.4228251278400421,0.5419585704803467,0.020802586267481903,0.35379520058631897
model_d,2025-07-31 02:00:00,50.0,0.43711233139038086,0.5603490471839905,0.02804132405650432,0.38282477855682373
model_d,2025-07-31 02:00:00,100.0,0.5186409950256348,0.6080341339111328,0.014758591608686485,0.36980774998664856
model_d,2025-07-31 02:00:00,150.0,0.49620041251182556,0.604354202747345,0.014336917562724014,0.35709190368652344
model_d,2025-07-31 02:00:00,200.0,0.5040568113327026,0.6166454553604126,0.03296085459273315,0.3602904677391052
model_d,2025-07-31 02:00:00,250.0,0.5097423791885376,0.6215654015541077,0.04308103169583245,0.3613220751285553
model_d,2025-07-31 02:00:00,300.0,0.522108793258667,0.6232209205627441,0.042448520626888746,0.36262068152427673
model_d,2025-07-31 02:00:00,350.0,0.5209805965423584,0.6200557947158813,0.034225876730620566,0.3617769181728363
model_d,2025-07-31 02:00:00,400.0,0.5120092630386353,0.613764762878418,0.025511279780729496,0.36102667450904846
model_d,2025-07-31 02:00:00,450.0,0.5085052251815796,0.6149656772613525,0.027127696956918967,0.3615480959415436
model_d,2025-07-31 02:00:00,500.0,0.5092380046844482,0.6186952590942383,0.030711926347599974,0.36283016204833984
model_d,2025-07-31 02:00:00,550.0,0.5043454766273499,0.6138321757316589,0.010049898095438893,0.3642794191837311
model_d,2025-07-31 02:00:00,600.0,0.49959030747413635,0.6097380518913269,0.008363201911589008,0.364443838596344
model_d,2025-07-31 02:00:00,650.0,0.49992915987968445,0.6083528399467468,0.014688312601026073,0.3670434355735779
model_d,2025-07-31 02:00:00,700.0,0.4941047430038452,0.6022322177886963,0.01342329046313866,0.3702024221420288
model_d,2025-07-31 02:00:00,750.0,0.4903053343296051,0.5994284152984619,0.013844964509101132,0.37155887484550476
model_d,2025-07-31 02:00:00,800.0,0.48634788393974304,0.5939454436302185,0.011666315271628364,0.37324878573417664
model_d,2025-07-31 02:00:00,850.0,0.4858725666999817,0.5977761745452881,0.010893246187363835,0.3770625591278076
